url,category,title,author,description,date,place,date_from,date_to
/BL2,BIOÉTHIQUE,ÊTRE ET NE PAS NAÎTRE : L’EMBRIYON EST-IL UN ÊTRE HUMAIN ?,Dr. P. BLANCHUT,La réponse scientifique et exhaustive du médecin.,25.02.2002,Sion,25.02.2002,
/BL4,BIOÉTHIQUE,L'ASSISTANCE AU SUICIDE,Dr. P. BLANCHUT,,2009,Monthey,01.01.2009,31.12.2009
/BL1,BIOÉTHIQUE,LA PROCRÉATION ARTIFICIELLE (in vitro),Dr. P. BLANCHUT,"Comment légiférer?
Sur quelle base morale?
Faut-il réinventer la métaphysique ?",07.05.1997,Sion,07.05.1997,
/BL3,BIOÉTHIQUE,LES DONS D'ORGANES,Dr. P. BLANCHUT,,18.02.2005,Sion,18.02.2005,
/DICK2,BIOÉTHIQUE,L'EUTHANASIE,Dr. J.-P. DICKES,,23.11.2006,Monthey,23.11.2006,
/DICK1,BIOÉTHIQUE,LA BIOÉTIQUE CONTRE LA VIE,Dr. J.-P DICKES,,21.11.2006,Monthey,21.11.2006,
/GIL2,BIOÉTHIQUE,ENTRE EUGÉNISME ET EUTHANASIE,Mme le Dr GILLAIZEAU,"Médecine et Morale N° 3
La Bioéthique",13.12.1993,"Institut Uni. St Pie X, Paris",13.12.1993,
/GIL1,BIOÉTHIQUE,LA RÉVOLUTION CONTRACEPTIVE,Mme le Dr GILLAIZEAU,"Médecine et Morale N° 2
Série de 4 conférences
abbé Sélégny, réf. SEL1",29.11.1993,"Institut Uni. St Pie X, Paris",29.11.1993,
/GIL3,BIOÉTHIQUE,NOTRE COMBAT POUR LA FAMILLE,Mme le Dr GILLAIZEAU,Médecine et Morale N° 4,17.01.1994,"Institut Uni. St Pie X, Paris",17.01.1994,
/lo35,BIOÉTHIQUE,LES APPRENTIS-SORCIERS DE LA GÉNÉTIQUE,M. l’abbé A. LORANS,Avec l’autorisation du Cercle d’Études Catholiques. “Christus Rex”.,25.01.1995,"Lauzon, Canada",25.01.1995,
/SEL2,BIOÉTHIQUE,"EUGÉNISME : LA SÉLECTION DES ÊTRES HUMAINS, UN NOUVEAU DROIT DE L'HOMME ?",M. l’abbé A. SELEGNY,,06.11.1995,"Instit. St-Grégoire le Grand, Lyon",06.11.1995,
/SEL1,BIOÉTHIQUE,LA BIOÉTHIQUE CONTRE LA MORALE,M. l’abbé A. SELEGNY,"Série de 4 conférences
Médecine et morale N° 1.
Les 3 suivantes par Mme le Dr Gillaizeau (Réf. GIL 1-2-3).",06.11.1995,"Instit. St-Grégoire le Grand, Lyon",06.11.1995,
/a11,CARMEL,RETRAITE DU TIERS ORDRE DU CARMEL – LA CONFIANCE EN DIEU,M. l’abbé J.-P. ANDRÉ,"Retraite avec Sainte Thérèse de l’Enfant Jésus.
Série de 14 conférences.",15 - 20.07.1996,Pouilly-en-Auxois,15.07.1996,20.07.1996
/a12,CARMEL,RETRAITE DU TIERS ORDRE DU CARMEL – LA SAINTETÉ THÉRÉSIENNE PAR L’ENFANCE SPIRITUELLE,M. l’abbé J.-P. ANDRÉ,14 conférences et un Chemin de Croix.,04 - 08.08.1997,Pouilly-en-Auxois,04.08.1997,08.08.1997
/a10,CARMEL,RETRAITE DU TIERS-ORDRE DU CARMEL – SPIRITUALITÉ CARMÉLITAINE,M. l’abbé J.-P. ANDRÉ,Série de 15 conférences.,17 - 22.07.1995,Pouilly-en-Auxois,17.07.1995,22.07.1995
/cma06,CARMEL,NOTRE-DAME ET LE MONT-CARMEL,M. l'abbé LAMERAND,Congrès Marial (N° 6).,15 - 17.08.1996,Lourdes,15.08.1996,17.08.1996
/JA1,CARMEL,LE DRAME DU CARMEL D’AUSCHWITZ,M. M. de JAEGHERE,,06.11.1989,"Institut Uni. St Pie X, Paris",06.11.1989,
/JAC1,CARMEL,L’ENSEIGNEMENT DE SAINT JEAN DE LA CROIX,M. l’abbé E. JACQMIN,"Série de conférences
Conseils à un religieux.
Conseils de spiritualité.
Nature et sur-nature ; les problèmes actuels.
Tradition.
Précautions contre les trois ennemis.
La Montée du Carmel.
Prologue.
Les âmes désireuses de perfection puiseront dans ces conférences le réconfort et la joie ; elles seront stimulées dans la montée…",23 - 27.11.1999,Carmel de Quievrain,23.11.1999,27.11.1999
/JAC6,CARMEL,"LA MONTÉE DU CARMEL, Livre 1er, ch. 9 à 15 – 5° CONSEIL DE SPIRITUALITÉ",M. l’abbé Eric JACQMIN,"Série de 5 conférences données au Carmel de Quiévrain, de Janvier à février 2001",01 - 02.2001,Carmel de Quiévrain,01.02.2001,28.02.2001
/JAC5,CARMEL,"LA MONTÉE DU CARMEL, Livre 1er, ch. I à VIII",M. l’abbé E. JACQMIN,Série de 5 conférences.,28.07 au 15.12.2000,Carmel de Quiévrain,,
/JAC7,CARMEL,"LA MONTÉE DU CARMEL, Livre II, ch. 1 à 8",M. l’abbé E. JACQMIN,Série de 4 conférences.,2001,Carmel de Quiévrain,01.01.2001,31.12.2001
/ROU1,CARMEL,LA DOCTRINE MYSTIQUE DE SAINT JEAN DE LA CROIX,M. l’abbé D. ROUSSEAU,,23.07.1993,"Lauzon, Canada",23.07.1993,
/BAUD11,CRISE DE L’ÉGLISE,"LA FRATERNITÉ SAINT PIE X, UNE ŒUVRE D’ÉGLISE",M. l’abbé BAUDOT,Retraite de vie chrétienne.,1999 - 2005,Flavigny,,31.12.2005
/BOUR12,CRISE DE L’ÉGLISE,LA NOUVELLE MESSE,M. l’abbé BOURRAT,Retraite de vie chrétienne.,22 - 28.07.2006,Flavigny,22.07.2006,28.07.2006
